book,chapter,verse,text_Tagalog,text_Hiligaynon
Exodus,1,1,Ito ang mga pangalan ng mga anak ni Israel na dumating sa Ehipto kasama si Jacob; bawat isa ay kasama ang kanya-kanyang sambahayan:,"Amo ini ang mga anak nga lalaki ni Jacob nga nag-upod sa iya sa Egipto, kaupod ang ila mga pamilya:"
Exodus,1,2,"sina Ruben, Simeon, Levi, Juda,","Si Reuben, Simeon, Levi, Juda,"
Exodus,1,3,"Isacar, Zebulon, Benjamin,","Isacar, Zebulun, Benjamin,"
Exodus,1,4,"Dan, Neftali, Gad, at Aser.","Dan, Naftali, Gad, kag Asher."
Exodus,1,5,"Lahat ng taong nagmula sa balakang ni Jacob ay pitumpung katao, at si Jose ay nasa Ehipto na.",Si Jose didto na nga daan sa Egipto. 70 tanan ang kaliwat ni Jacob sang nagkadto siya sa Egipto .
Exodus,1,6,Namatay si Jose at ang lahat ng kanyang mga kapatid at ang buong salinlahing iyon.,"Sang ulihi napatay si Jose kag ang tanan niya nga utod. Naglipas ang ina nga henerasyon,"
Exodus,1,7,Ang mga anak ni Israel ay lumago at nadagdagang mabuti; sila'y dumami at naging napakalakas kaya't ang lupain ay napuno nila.,pero madasig nga nagdamo ang ila mga kaliwat. Sa ila puwerte nga kadamo naglapta sila sa bisan diin nga parte sang Egipto.
Exodus,1,8,At may bumangong isang bagong hari sa Ehipto na hindi kilala si Jose.,"Karon, may bag-o na nga hari sa Egipto nga wala kahibalo parte kay Jose."
Exodus,1,9,"Sinabi niya sa kanyang bayan, “Tingnan ninyo, ang sambayanan ng mga anak ni Israel ay mas marami at higit na malakas kaysa atin.","Nagsiling siya sa iya katawhan, “Tan-awa bala ninyo! Madamo na gid ang mga Israelinhon, gani delikado na ang aton kahimtangan."
Exodus,1,10,"Halikayo, pakitunguhan natin sila nang may katusuhan, baka sila'y dumami at mangyari na kapag nagkaroon ng digmaan ay umanib sila sa ating mga kaaway, lumaban sa atin, at umalis sa lupain.”","Kay basi bala sa tion sang inaway magadampig sila sa aton mga kaaway kag magakontra sa aton, kag dayon makapalagyo sila sa aton nasyon. Gani mangita kita sang maayo nga paagi nga indi na sila magdamo pa.”"
Exodus,1,11,"Kaya't naglagay sila ng mga tagapangasiwa upang pahirapan sila sa kanilang mga sapilitang paggawa. Kanilang ipinagtayo si Faraon ng mga lunsod imbakan, ang Pitom at Rameses.",Gani ginpadumalahan nila ang mga Israelinhon sa mga tawo nga nagpigos kag nagpaobra sa ila sing tudo-tudo gid. Ginpaobra sa ila ang mga banwa sang Pitom kag Rameses nga bulutangan sang mga bodega sang hari sang Egipto.
Exodus,1,12,"Subalit habang kanilang pinahihirapan sila, lalo silang dumarami at lalong lumalaganap. At kinasuklaman nila ang mga anak ni Israel.","Pero samtang ginapigos sila nga ginapigos, nagadamo pa gid gani sila nga nagadamo, kag naglalapta pa gid sila sa Egipto . Gani hinadlukan na gid ang mga Egiptohanon sa ila."
Exodus,1,13,Malupit na pinapaglingkod ng mga Ehipcio ang mga anak ni Israel;,"Tungod sini, gindugangan pa gid nila ang ila kapintas sa pag-ulipon sa mga Israelinhon."
