Tagalog,Translation
sa,sa
jacob,jacob
anak,ang
ang,ang
israel,sa
si,si
kasama,nga
bawat,ang
ehipto,sa
ay,nga
mga,ang
ito,nga
sambahayan,sa
isa,sa
na,nga
dumating,sa
ni,sa
ng,nga
kanya,sa
kanyang,ang
pangalan,ang
sina,kag
levi,levi
juda,juda
simeon,simeon
ruben,reuben
benjamin,benjamin
zebulon,zebulun
isacar,isacar
at,ang
gad,gad
dan,dan
aser,asher
neftali,naftali
katao,ni
nagmula,nga
taong,sa
balakang,sang
nasa,sa
lahat,nga
pitumpung,70
jose,jose
buong,nga
iyon,nga
namatay,nga
kapatid,nga
salinlahing,nga
napakalakas,sang
napuno,ila
y,sa
kaya,ang
sila,sa
naging,ang
t,ang
nila,sa
dumami,nga
lupain,sa
lumago,sa
nadagdagang,diin
mabuti,nga
bagong,sa
may,nga
bumangong,kahibalo
hari,sang
hindi,nga
isang,nga
kilala,sa
ninyo,sa
higit,sa
kaysa,sa
mas,sa
atin,sa
sinabi,sa
sambayanan,ang
niya,ang
marami,ang
tingnan,sa
bayan,sa
malakas,sa
baka,nga
halikayo,gani
pakitunguhan,sa
nang,sa
mangyari,sa
katusuhan,sa
natin,sa
digmaan,sa
umanib,sa
lumaban,sa
nagkaroon,nga
kaaway,mga
umalis,ang
ating,sa
kapag,nga
rameses,rameses
upang,sa
kanilang,ang
pitom,ila
sapilitang,nga
faraon,ang
pahirapan,ila
paggawa,sa
ipinagtayo,sa
lunsod,ang
naglagay,sa
tagapangasiwa,sa
imbakan,ila
lalong,ila
silang,sa
habang,ang
dumarami,ila
subalit,ang
lalo,sa
lumalaganap,ila
kinasuklaman,ila
pinahihirapan,ila
ehipcio,sa
malupit,sa
pinapaglingkod,ila
luwad,sa
uri,nga
paglilingkod,sa
pamamagitan,sa
pinapait,ila
mahirap,ila
ipinapatay,ila
bukid,sa
tisa,mga
batang,ang
gawain,sa
buhay,nga
lalaki,nga
sifra,nga
pua,nga
hebrea,nga
ikalawa,nga
nagsalita,ang
hilot,nga
pagtingin,bata
mabubuhay,sa
ngunit,ang
papatayin,ang
upuang,sa
babaing,nga
paghilot,bata
panganganakan,bata
kanila,sa
kung,nga
babae,ang
ginawa,nga
mabuhay,nga
hinayaan,ang
gaya,sa
nilang,nga
iniutos,ang
natakot,sa
kundi,sa
diyos,dios
bakit,ang
ipinatawag,kag
bagay,nga
ninyong,nga
sapagkat,nga
bago,nga
malalakas,egiptohanon
